name,address,latitude,longitude
Aba,"325 W 57th St, New York, NY 10019",40.7674386,-73.9839741
Adana Turkish Grill,"178-25 Hillside Avenue, Queens, NY 11432",40.7126941,-73.784417
Affy's Premium Grill,"1909 Coney Island Ave, Brooklyn, NY 11230",40.6108591,-73.96224925
al Badawi,"151 Atlantic Ave, Brooklyn, NY 11201",40.6905953,-73.995038
Al Masry,"1178 Fulton St, Brooklyn, NY 11216",40.68063,-73.9539592
Ali's Trinidad Roti Shop,"1267 Fulton St, Brooklyn, NY 11216",40.6805821,-73.9506169
Apple Tree Gourmet,"41B Newkirk Plaza, Brooklyn, NY 11226",40.635097,-73.9627072
Aroma Indian Cuisine,"6340 Woodhaven Blvd, Queens, NY 11374",40.7214762,-73.8664171
Asian Taste 86 Halal Food,"86-10 Whitney Ave, Queens, NY 11373",40.7417783,-73.8786241
Atomic Wings Queens,"159-23 Hillside Avenue, Queens, NY 11432",40.7081722,-73.8020135
Avenue BBQ Hut,"122-09 Liberty Ave, Queens, NY 11419",40.68752035,-73.82143846
AwesomeSauce,"40-06 Astoria Blvd S, Queens, NY 11103",40.7685695,-73.91070421
Ayat,"8504 3rd Ave, Brooklyn, NY 11209",40.6241443,-74.0309615
Balade,"208 1st Ave., New York, NY 10009",40.7302617,-73.98302292
Birdies Hot Chicken,"810 Grand St, Brooklyn, NY 11206",40.7117898,-73.9410835
Birria LES,"127 Rivington St, New York, NY 10002",40.71950115,-73.9871368
Birria Mania,"7508 3rd Ave, Brooklyn, NY 11209",40.6312449,-74.0281333
BK Jani,"679 Grand St, Brooklyn, NY 11211",40.71169345,-73.94529475
Black Nile,"705 Flatbush Ave, Brooklyn, NY 11225",40.6559501,-73.95963099
Blue Nile,"324 Bleecker St, New York, NY 10014",40.73316875,-74.0043038
Boishakhi,"2914 36th Ave, Queens, NY 11106",40.75472,-73.9257596
Bosna Express,"791 Fairview Ave, Queens, NY 11385",40.7048677,-73.902327
Brooklyn Halal Grill,"1148 Liberty Ave, Brooklyn, NY 11208",40.6785879,-73.86678643
Burgermania,"274 W 40th St, New York, NY 10018",40.7557287,-73.9904972
BURGERS by Honest Chops,"99 MacDougal St, New York, NY 10012",40.7296565,-74.00109101
Caravan Uyghur Cuisine,"35-01 Broadway, Queens, NY 11106",40.760525,-73.9220038
Carifesta,"12615 Liberty Ave, Jamaica, NY 11419",40.7020538,-73.792484
Cevabdzinica Sarajevo,"37-18 34th Ave, Queens, NY 11101",40.75701685,-73.9219137
Chicken N Shakes,"183-16 Horace Harding Expy, Queens, NY 11365",40.7393387,-73.79035784
Cocoa Grinder,"8511 3rd Ave, Brooklyn, NY 11209",40.62412261,-74.03067822
Coney Island House of Wings,"3100 Ocean Pkwy, Brooklyn, NY 11235",40.5762199,-73.9694452
Dar Al Yemen,"131-05 Rockaway Blvd, South Ozone Park, NY 11420",40.6754873,-73.8138744
Dar Yemma,"25-21 Steinway St, Queens, NY 11103",40.7673231,-73.9119969
Darbar's Chicken & Ribs,"12609 Liberty Ave, Queens, NY 11419",40.688773,-73.817628
Desi Galli,"101 Lexington Ave, New York, NY 10016",40.7420964,-73.9825767
Dhania,"787 Prospect Pl, Brooklyn, NY 11216",40.67441588,-73.95047434
Duzan,"24-11 Steinway St, Queens, NY 11103",40.7552141,-73.9220743
Eatzy Thai,"33-09 Broadway, Queens, NY 11106",40.7612013,-73.92328922
Emir Palace,"4210 18th Ave, Brooklyn, NY 11218",40.6318118,-73.97557471
Falafel Tarboosh,"1701 Amsterdam Ave, New York, NY 10031",40.8246801,-73.9478023
Fatima's Halal Kitchen,"25-25 Broadway, Queens, NY 11106",40.7631425,-73.9275639
Fitoor Cafe & Grill Lounge,"179-22 Union Tpke, Queens, NY 11366",40.7258649,-73.7916995
FLAMES INDIAN AROMA,"165 E 106th St, New York, NY 10029",40.7920242,-73.94518577
Fritebar,"8503 3rd Ave, Brooklyn, NY 11209",40.62417412,-74.03065724
Gazab,"179 Essex St, New York, NY 10002",40.7219318,-73.98667266
Grilled Flavor,"133-23 Rockaway Blvd, Queens, NY 11420",40.674864,-73.80454541
Hadramout Restaurant NYC,"172 Atlantic Ave, Brooklyn, NY 11201",40.6898572,-73.99384361
Halal boyz,"183-20 Horace Harding Expy, Queens, NY 11365",40.7394638,-73.7902496
Halal China Kitchen Plus,"87-48 Parsons Blvd, Jamaica, NY 11432",40.7080288,-73.8031412
Halal Gyro Pizza Chicken Brooklyn,"1961 Flatbush Ave, Brooklyn, NY 11234",40.6221688,-73.9359601
Halal Munchies,"69-21 164th St, Fresh Meadows, NY 11365",40.7325849,-73.8047871
Halal Xpress Chinese Kitchen,"7524 18th Ave, Brooklyn, NY 11214",40.6129593,-73.996628
Halalbee's,"182-26 Hillside Avenue, Queens, NY 11432",40.7135179,-73.7795549
Hot Peppers,"78-33 Springfield Blvd, Queens, NY 11364",40.73646,-73.7469082
Kabab King,"7301 37th Rd, Queens, NY 11372",40.7474445,-73.8896507
Kashkar Cafe,"1141 Brighton Beach Ave, Brooklyn, NY 11235",40.57770086,-73.95555686
Kebab House (Halal),"712 9th Ave, New York, NY 10019",40.7625456,-73.9893759
Khalil Biryani House,"1457 Unionport Rd, The Bronx, NY 10462",40.8355033,-73.8556304
Kotti Berliner Doner Kebab,"445 Albee Square W, Brooklyn, NY 11201",40.6912513,-73.9831859
Lagman House,"2612 E 14th St, Brooklyn, NY 11235",40.58732951,-73.95527159
Lahori Chilli,"1026 Coney Island Ave, Brooklyn, NY 11230",40.63245285,-73.96717942
Les Ambassades,"2200 Frederick Douglass Blvd, New York, NY 10026",40.8072019,-73.9535984
LeyRa Chocolate,"106 MacDougal St, New York, NY 10012",40.7294539,-74.0008102
LULU CHINESE,"7806 101st Ave, Ozone Park, NY 11416",40.683295,-73.849422
Mahmoud's Corner Halal Food Cart,"32-90 34th Ave, Queens, NY 11103",40.7567327,-73.9209677
Manousheh Bleecker,"193 Bleecker St, New York, NY 10012",40.7293159,-74.00129683
Marakand,"9898 Queens Blvd, Queens, NY 11374",40.730101,-73.8620732
Massawa,"1239 Amsterdam Ave, New York, NY 10027",40.8097913,-73.9586122
Memo Shish Kebab - Manhattan,"100 W 23rd St, New York, NY 10011",40.7428322,-73.9931189
Merit Kabab,"37-67 74th Street, Queens, NY 11372",40.7471174,-73.89123685
Milk And Honey Cafe,"1119 Newkirk Ave, Brooklyn, NY 11230",40.634329,-73.9661043
Miraj Healthy Grill,"120 E 34th St, New York, NY 10016",40.7463622,-73.9801039
Mirch,"172-27 Hillside Avenue, Queens, NY 11432",40.7121954,-73.7893575
Moho Mexican Grill,"3805 Bell Blvd, Queens, NY 11361",40.7603123,-73.7693756
Momo Crave,"38-07 69th St, Queens, NY 11377",40.746829,-73.8962571
Momo's Mediterranean Grill,"25 101st Ave, Brooklyn, NY 11208",40.6794329,-73.86379254
Moonlite Grill & Chicken,"73-15 Broadway, Queens, NY 11372",40.7470389,-73.89195117
Mum Feteer,"25-48 Steinway St, Queens, NY 11103",40.7668216,-73.9128253
Munch,"70-19 Austin St, Queens, NY 11375",40.7208016,-73.8462242
My House Burgers and Shakes,"1650 Sheepshead Bay Rd, Brooklyn, NY 11235",40.58657235,-73.95259186
My Teriyaki Food Cart,"440 86th St, Brooklyn, NY 11209",40.6219432,-74.02748923
Namkeen,"338 Bedford Ave, Brooklyn, NY 11249",40.7128614,-73.9624896
Nepali Bhanchha Ghar,"74-15 Roosevelt Ave, Queens, NY 11372",40.7470311,-73.8908241
Nneji,"32-20 34th Ave, Queens, NY 11106",40.758891,-73.92596075
No pork halal kitchen,"50 4th Ave, Brooklyn, NY 11217",40.6832996,-73.9793255
Nur Thai,"63-32 Woodhaven Blvd, Queens, NY 11374",40.7234821,-73.8689402
Nurlan,"43-39 Main St, Queens, NY 11355",40.75164155,-73.82578171
Omar Mediterranean Cuisine,"20 E 39th St, New York, NY 10016",40.7509482,-73.9810006
Omar Mediterranean Cuisine,"154 E 55th St, New York, NY 10022",40.75905745,-73.96925654
Omar's Burgers and Platters (Halal),"8325 Parsons Blvd, Jamaica, NY 11432",40.7081112,-73.803005
Operation: falafel,"232 7th Ave, New York, NY 10011",40.7445744,-73.99567005
Oshton Plov Center,"3381 Shore Pkwy, Brooklyn, NY 11235",40.5849511,-73.9504856
Pad Thai Cuisine,"2115 Frederick Douglass Blvd, New York, NY 10026",40.8034626,-73.95645145
Paratha Wala Inc.,"103-09 Metropolitan Ave, Queens, NY 11375",40.7104315,-73.84946225
Pepo's Pizza,"1522 Amsterdam Ave, New York, NY 10031",40.8191442,-73.9522861
Peri Peri Grill House,"235 Malcolm X Blvd, Brooklyn, NY 11233",40.6847357,-73.9291796
Qahwah House,"162 Bedford Ave, Brooklyn, NY 11211",40.718536,-73.957112
Queen Sheeba,"317 W 141st St, New York, NY 10030",40.8208443,-73.9448145
Ruzana,"486 85th St, Brooklyn, NY 11209",40.6222447,-74.026039
Safari,"219 W 116th St, New York, NY 10026",40.8038486,-73.9535718
Sagar Chinese,"74-19 37th Ave, Queens, NY 11372",40.7491395,-73.8912438
Sagar Chinese,"252-05 Union Tpke, Queens, NY 11426",40.7438091,-73.7183797
Sami's Kabab House,"35-57 Crescent St, Astoria, NY 11106",40.7652383,-73.9266714
Scoville Hot Chicken,"117 Orchard St, New York, NY 10002",40.7193755,-73.9897046
Shawafel House,"1419 Forest Ave, Staten Island, NY 10302",40.62481121,-74.1364266
Sheikh Shack,"82-37C, 164th St, Queens, NY 11432",40.7182929,-73.803451
Shibam Yemen Cafe,"6801 5th Ave, Brooklyn, NY 11220",40.633999,-74.0206196
Skips Fish and Chicken,"444 Rockaway Ave, Brooklyn, NY 11212",40.66906275,-73.91083626
SkyIce Thai Food & Ice Cream,"63 5th Ave, Brooklyn, NY 11217",40.680712,-73.9773803
Taheni,"224 4th Ave, Brooklyn, NY 11215",40.6773744,-73.9833346
Tallgrass Burger,"214 1st Ave., New York, NY 10009",40.7304676,-73.9829952
Tangra Masala,"87-09 Grand Ave, Queens, NY 11373",40.73650095,-73.87829814
Tarim Uyghur Cuisine,"136-20 Roosevelt Ave, Queens, NY 11354",40.7593499,-73.8307815
Texas Lone Star Fried Chicken & Burgers,"113-18 Sutphin Blvd, Queens, NY 11435",40.68633765,-73.79429506
Thai Nara,"64-02 35th Ave, Queens, NY 11377",40.7501454,-73.8984833
The Grounds Of Brooklyn,"1117 Newkirk Ave, Brooklyn, NY 11230",40.6342777,-73.9662188
The Gully,"2545 Steinway St, Queens, NY 11103",40.7552141,-73.9220743
The Halal Spot,"474 Myrtle Ave, Brooklyn, NY 11205",40.693285,-73.9662895
The Soul Spot,"302 Atlantic Ave, Brooklyn, NY 11201",40.68826385,-73.988843
Top Thai 55 Carmine,"55 Carmine St, New York, NY 10014",40.7299664,-74.00422947
Top Thai Greenwich,"235 Sullivan St, New York, NY 10012",40.72977065,-73.99939199
Top Thai Restaurant,"8510 4th Ave, Brooklyn, NY 11209",40.6232332,-74.0283941
Trinciti Roti Shop and Restaurant,"111-03 Lefferts Blvd, Queens, NY 11420",40.68039005,-73.82101576
Tropical Isle Roti Shop and Bakery,"118-19 Liberty Ave, Queens, NY 11419",40.68635435,-73.82441935
Twisted Mexican Grill,"18-33 Astoria Blvd, Astoria, NY 11102",40.771776,-73.924441
Twisted wings,"8604 Bay Pkwy, Brooklyn, NY 11214",40.60183148,-73.99407133
Viva la Pizza,"6305 Fort Hamilton Pkwy, Brooklyn, NY 11219",40.63132675,-74.00772543
Xcellent Soul Food,"372 Ralph Ave, Brooklyn, NY 11233",40.6762626,-73.9220297
